skill_name,skill_url
ADO.NET,http://www.linkedin.com/skills/skill/ADO.NET
Entity Framework,http://www.linkedin.com/skills/skill/Entity_Framework
TFS,http://www.linkedin.com/skills/skill/TFS
Enterprise Library,http://www.linkedin.com/skills/skill/Enterprise_Library
SOA,http://www.linkedin.com/skills/skill/SOA
NoSQL,http://www.linkedin.com/skills/skill/NoSQL
Kanban,http://www.linkedin.com/skills/skill/Kanban
Effective and efficient development,http://www.linkedin.com/skills/skill/Effective_and_efficient_development
TPL,http://www.linkedin.com/skills/skill/TPL
MongoDB,http://www.linkedin.com/skills/skill/MongoDB
CouchDB,http://www.linkedin.com/skills/skill/CouchDB
phpMyAdmin,http://www.linkedin.com/skills/skill/phpMyAdmin
Drupal,http://www.linkedin.com/skills/skill/Drupal
LAMP,http://www.linkedin.com/skills/skill/LAMP
PostgreSQL,http://www.linkedin.com/skills/skill/PostgreSQL
Joomla,http://www.linkedin.com/skills/skill/Joomla
Doctrine,http://www.linkedin.com/skills/skill/Doctrine
PHPUnit,http://www.linkedin.com/skills/skill/PHPUnit
osCommerce,http://www.linkedin.com/skills/skill/osCommerce
Curl,http://www.linkedin.com/skills/skill/Curl
DHTML,http://www.linkedin.com/skills/skill/DHTML
Propel,http://www.linkedin.com/skills/skill/Propel
WAMP,http://www.linkedin.com/skills/skill/WAMP
PHP Frameworks,http://www.linkedin.com/skills/skill/PHP_Frameworks
cPanel,http://www.linkedin.com/skills/skill/cPanel
Cron,http://www.linkedin.com/skills/skill/Cron
PHPNuke,http://www.linkedin.com/skills/skill/PHPNuke
ImageMagick,http://www.linkedin.com/skills/skill/ImageMagick
MySQL 4/5,http://www.linkedin.com/skills/skill/MySQL_4/5
Debian/Ubuntu,http://www.linkedin.com/skills/skill/Debian/Ubuntu
Scrum,http://www.linkedin.com/skills/skill/Scrum
WPF,http://www.linkedin.com/skills/skill/WPF
MFC,http://www.linkedin.com/skills/skill/MFC
Eclipse,http://www.linkedin.com/skills/skill/Eclipse
SSRS,http://www.linkedin.com/skills/skill/SSRS
Visual C#,http://www.linkedin.com/skills/skill/Visual_C#
Visual C++,http://www.linkedin.com/skills/skill/Visual_C++
Servlets,http://www.linkedin.com/skills/skill/Servlets
UML,http://www.linkedin.com/skills/skill/UML
TCP/IP,http://www.linkedin.com/skills/skill/TCP/IP
Web Project Management,http://www.linkedin.com/skills/skill/Web_Project_Management
SEO,http://www.linkedin.com/skills/skill/SEO
Information Architecture,http://www.linkedin.com/skills/skill/Information_Architecture
Web Analytics,http://www.linkedin.com/skills/skill/Web_Analytics
Integrated Marketing,http://www.linkedin.com/skills/skill/Integrated_Marketing
Usability,http://www.linkedin.com/skills/skill/Usability
CMS,http://www.linkedin.com/skills/skill/CMS
Google Analytics,http://www.linkedin.com/skills/skill/Google_Analytics
Email Marketing,http://www.linkedin.com/skills/skill/Email_Marketing
Concept Development,http://www.linkedin.com/skills/skill/Concept_Development
SEM,http://www.linkedin.com/skills/skill/SEM
Wireframes,http://www.linkedin.com/skills/skill/Wireframes
Public Speaking,http://www.linkedin.com/skills/skill/Public_Speaking
Executive Coaching,http://www.linkedin.com/skills/skill/Executive_Coaching
Leadership Development,http://www.linkedin.com/skills/skill/Leadership_Development
Acting,http://www.linkedin.com/skills/skill/Acting
Teaching,http://www.linkedin.com/skills/skill/Teaching
Presentation Coaching,http://www.linkedin.com/skills/skill/Presentation_Coaching
Business Writing,http://www.linkedin.com/skills/skill/Business_Writing
Career Development,http://www.linkedin.com/skills/skill/Career_Development
Career Counseling,http://www.linkedin.com/skills/skill/Career_Counseling
Patent Prosecution,http://www.linkedin.com/skills/skill/Patent_Prosecution
Patentability,http://www.linkedin.com/skills/skill/Patentability
Patent Applications,http://www.linkedin.com/skills/skill/Patent_Applications
Software Patents,http://www.linkedin.com/skills/skill/Software_Patents
Registered Patent Attorney,http://www.linkedin.com/skills/skill/Registered_Patent_Attorney
Business Method Patents,http://www.linkedin.com/skills/skill/Business_Method_Patents
Patent Portfolio Analysis,http://www.linkedin.com/skills/skill/Patent_Portfolio_Analysis
User Interface,http://www.linkedin.com/skills/skill/User_Interface
Technical Writing,http://www.linkedin.com/skills/skill/Technical_Writing
Financial Software,http://www.linkedin.com/skills/skill/Financial_Software
Accounting Applications,http://www.linkedin.com/skills/skill/Accounting_Applications
Enterprise Architecture,http://www.linkedin.com/skills/skill/Enterprise_Architecture
Solution Architecture,http://www.linkedin.com/skills/skill/Solution_Architecture
IT Strategy,http://www.linkedin.com/skills/skill/IT_Strategy
Requirements Analysis,http://www.linkedin.com/skills/skill/Requirements_Analysis
Architecture,http://www.linkedin.com/skills/skill/Architecture
ITIL,http://www.linkedin.com/skills/skill/ITIL
Technical Architecture,http://www.linkedin.com/skills/skill/Technical_Architecture
Governance,http://www.linkedin.com/skills/skill/Governance
TOGAF,http://www.linkedin.com/skills/skill/TOGAF
Service Oriented Architecture,http://www.linkedin.com/skills/skill/Service_Oriented_Architecture
Enterprise Solution Architecture,http://www.linkedin.com/skills/skill/Enterprise_Solution_Architecture
Service Delivery,http://www.linkedin.com/skills/skill/Service_Delivery
Technical Project Management,http://www.linkedin.com/skills/skill/Technical_Project_Management
Process Improvement,http://www.linkedin.com/skills/skill/Process_Improvement
Security,http://www.linkedin.com/skills/skill/Security
User-centered Design,http://www.linkedin.com/skills/skill/User-centered_Design
PPC,http://www.linkedin.com/skills/skill/PPC
Public Relations,http://www.linkedin.com/skills/skill/Public_Relations
Corporate Communications,http://www.linkedin.com/skills/skill/Corporate_Communications
Marketing Communications,http://www.linkedin.com/skills/skill/Marketing_Communications
International Relations,http://www.linkedin.com/skills/skill/International_Relations
Goal Setting,http://www.linkedin.com/skills/skill/Goal_Setting
Corporate Social Responsibility,http://www.linkedin.com/skills/skill/Corporate_Social_Responsibility
Absolute dedication to achieving goals,http://www.linkedin.com/skills/skill/Absolute_dedication_to_achieving_goals
Total Commitment,http://www.linkedin.com/skills/skill/Total_Commitment
Transmedia Storytelling,http://www.linkedin.com/skills/skill/Transmedia_Storytelling
Positioning,http://www.linkedin.com/skills/skill/Positioning
Storytelling,http://www.linkedin.com/skills/skill/Storytelling
Event Management,http://www.linkedin.com/skills/skill/Event_Management
Sales,http://www.linkedin.com/skills/skill/Sales
Project Portfolio Management,http://www.linkedin.com/skills/skill/Project_Portfolio_Management
Strategic Alliances,http://www.linkedin.com/skills/skill/Strategic_Alliances
Technology,http://www.linkedin.com/skills/skill/Technology
Interaction Design,http://www.linkedin.com/skills/skill/Interaction_Design
Human Computer Interaction,http://www.linkedin.com/skills/skill/Human_Computer_Interaction
Java Enterprise Edition,http://www.linkedin.com/skills/skill/Java_Enterprise_Edition
Information Visualization,http://www.linkedin.com/skills/skill/Information_Visualization
Heuristics,http://www.linkedin.com/skills/skill/Heuristics
IT Recruitment,http://www.linkedin.com/skills/skill/IT_Recruitment
Infrastructure,http://www.linkedin.com/skills/skill/Infrastructure
Microsoft Dynamics,http://www.linkedin.com/skills/skill/Microsoft_Dynamics
Solution Selling,http://www.linkedin.com/skills/skill/Solution_Selling
Siebel,http://www.linkedin.com/skills/skill/Siebel
Axapta,http://www.linkedin.com/skills/skill/Axapta
Employee Relations,http://www.linkedin.com/skills/skill/Employee_Relations
Oracle CRM,http://www.linkedin.com/skills/skill/Oracle_CRM
Navision,http://www.linkedin.com/skills/skill/Navision
SSIS,http://www.linkedin.com/skills/skill/SSIS
Recruiting,http://www.linkedin.com/skills/skill/Recruiting
Contract Recruitment,http://www.linkedin.com/skills/skill/Contract_Recruitment
Technical Recruiting,http://www.linkedin.com/skills/skill/Technical_Recruiting
Qualifying Candidates,http://www.linkedin.com/skills/skill/Qualifying_Candidates
Hiring,http://www.linkedin.com/skills/skill/Hiring
Recruitment/Retention,http://www.linkedin.com/skills/skill/Recruitment/Retention
Investments,http://www.linkedin.com/skills/skill/Investments
Due Diligence,http://www.linkedin.com/skills/skill/Due_Diligence
Investment Banking,http://www.linkedin.com/skills/skill/Investment_Banking
Analysis,http://www.linkedin.com/skills/skill/Analysis
Wireless,http://www.linkedin.com/skills/skill/Wireless
Aviation,http://www.linkedin.com/skills/skill/Aviation
Human Resources,http://www.linkedin.com/skills/skill/Human_Resources
Job Scanning,http://www.linkedin.com/skills/skill/Job_Scanning
HR Consulting,http://www.linkedin.com/skills/skill/HR_Consulting
Interviews,http://www.linkedin.com/skills/skill/Interviews
Internet Recruiting,http://www.linkedin.com/skills/skill/Internet_Recruiting
Search,http://www.linkedin.com/skills/skill/Search
Recruitment Advertising,http://www.linkedin.com/skills/skill/Recruitment_Advertising
Investor Relations,http://www.linkedin.com/skills/skill/Investor_Relations
Analyst Relations,http://www.linkedin.com/skills/skill/Analyst_Relations
Crisis Management,http://www.linkedin.com/skills/skill/Crisis_Management
Consulting,http://www.linkedin.com/skills/skill/Consulting
Business Transformation,http://www.linkedin.com/skills/skill/Business_Transformation
JIRA,http://www.linkedin.com/skills/skill/JIRA
Wordpress,http://www.linkedin.com/skills/skill/Wordpress
Analytics,http://www.linkedin.com/skills/skill/Analytics
Market Analysis,http://www.linkedin.com/skills/skill/Market_Analysis
Conflict Resolution,http://www.linkedin.com/skills/skill/Conflict_Resolution
Data Analysis,http://www.linkedin.com/skills/skill/Data_Analysis
Applied Behavior Analysis,http://www.linkedin.com/skills/skill/Applied_Behavior_Analysis
Behavior Modification,http://www.linkedin.com/skills/skill/Behavior_Modification
Customer Relationship Management,http://www.linkedin.com/skills/skill/Customer_Relationship_Management
Adolescents,http://www.linkedin.com/skills/skill/Adolescents
Scientific Writing,http://www.linkedin.com/skills/skill/Scientific_Writing
Persuasive Writing,http://www.linkedin.com/skills/skill/Persuasive_Writing
Organizational Leadership,http://www.linkedin.com/skills/skill/Organizational_Leadership
Collaborative Problem Solving,http://www.linkedin.com/skills/skill/Collaborative_Problem_Solving
PMO,http://www.linkedin.com/skills/skill/PMO
Risk Management,http://www.linkedin.com/skills/skill/Risk_Management
